"Raw_df.Date","Raw_df.Station","daily_rainfall"
"1/1/2012","Toa Payoh",0
"2/1/2012","Toa Payoh",0
"3/1/2012","Toa Payoh",0.2
"4/1/2012","Toa Payoh",0
"5/1/2012","Toa Payoh",0
"6/1/2012","Toa Payoh",0
"7/1/2012","Toa Payoh",1
"8/1/2012","Toa Payoh",8.8
"9/1/2012","Toa Payoh",1
"10/1/2012","Toa Payoh",3
"11/1/2012","Toa Payoh",0
"12/1/2012","Toa Payoh",0.6
"13/1/2012","Toa Payoh",0
"14/1/2012","Toa Payoh",0
"15/1/2012","Toa Payoh",27.6
"16/1/2012","Toa Payoh",0
"17/1/2012","Toa Payoh",0
"18/1/2012","Toa Payoh",2
"19/1/2012","Toa Payoh",0
"20/1/2012","Toa Payoh",27.8
"21/1/2012","Toa Payoh",53
"22/1/2012","Toa Payoh",27.4
"23/1/2012","Toa Payoh",4
"24/1/2012","Toa Payoh",0
"25/1/2012","Toa Payoh",5.2
"26/1/2012","Toa Payoh",0
"27/1/2012","Toa Payoh",8.4
"28/1/2012","Toa Payoh",0
"29/1/2012","Toa Payoh",0
"30/1/2012","Toa Payoh",0
"31/1/2012","Toa Payoh",42.6
"1/2/2012","Toa Payoh",0
"2/2/2012","Toa Payoh",17.8
"3/2/2012","Toa Payoh",0
"4/2/2012","Toa Payoh",0
"5/2/2012","Toa Payoh",0
"6/2/2012","Toa Payoh",0
"7/2/2012","Toa Payoh",0
"8/2/2012","Toa Payoh",0
"9/2/2012","Toa Payoh",0
"10/2/2012","Toa Payoh",0
"11/2/2012","Toa Payoh",0
"12/2/2012","Toa Payoh",0
"13/2/2012","Toa Payoh",1.6
"14/2/2012","Toa Payoh",0
"15/2/2012","Toa Payoh",1.8
"16/2/2012","Toa Payoh",0.2
"17/2/2012","Toa Payoh",15.2
"18/2/2012","Toa Payoh",8.4
"19/2/2012","Toa Payoh",0.2
"20/2/2012","Toa Payoh",8.8
"21/2/2012","Toa Payoh",17.2
"22/2/2012","Toa Payoh",0
"23/2/2012","Toa Payoh",0
"24/2/2012","Toa Payoh",0
"25/2/2012","Toa Payoh",0
"26/2/2012","Toa Payoh",0.4
"27/2/2012","Toa Payoh",8
"28/2/2012","Toa Payoh",0
"29/2/2012","Toa Payoh",0
"1/3/2012","Toa Payoh",3.8
"2/3/2012","Toa Payoh",31.2
"3/3/2012","Toa Payoh",0
"4/3/2012","Toa Payoh",0.6
"5/3/2012","Toa Payoh",2.6
"6/3/2012","Toa Payoh",0
"7/3/2012","Toa Payoh",1.2
"8/3/2012","Toa Payoh",1.4
"9/3/2012","Toa Payoh",18.2
"10/3/2012","Toa Payoh",1.8
"11/3/2012","Toa Payoh",20.8
"12/3/2012","Toa Payoh",7.2
"13/3/2012","Toa Payoh",6.4
"14/3/2012","Toa Payoh",33.4
"15/3/2012","Toa Payoh",0
"16/3/2012","Toa Payoh",0
"17/3/2012","Toa Payoh",8
"18/3/2012","Toa Payoh",8.4
"19/3/2012","Toa Payoh",0
"20/3/2012","Toa Payoh",0
"21/3/2012","Toa Payoh",1.4
"22/3/2012","Toa Payoh",73.2
"23/3/2012","Toa Payoh",0
"24/3/2012","Toa Payoh",0
"25/3/2012","Toa Payoh",12
"26/3/2012","Toa Payoh",2.2
"27/3/2012","Toa Payoh",2.4
"28/3/2012","Toa Payoh",0
"29/3/2012","Toa Payoh",0
"30/3/2012","Toa Payoh",18.4
"31/3/2012","Toa Payoh",34.4
"1/4/2012","Toa Payoh",0
"2/4/2012","Toa Payoh",62.2
"3/4/2012","Toa Payoh",0
"4/4/2012","Toa Payoh",33
"5/4/2012","Toa Payoh",5.4
"6/4/2012","Toa Payoh",10
"7/4/2012","Toa Payoh",4.6
"8/4/2012","Toa Payoh",16
"9/4/2012","Toa Payoh",19.8
"10/4/2012","Toa Payoh",37.4
"11/4/2012","Toa Payoh",0.6
"12/4/2012","Toa Payoh",0.2
"13/4/2012","Toa Payoh",0
"14/4/2012","Toa Payoh",3.4
"15/4/2012","Toa Payoh",0
"16/4/2012","Toa Payoh",0
"17/4/2012","Toa Payoh",0
"18/4/2012","Toa Payoh",0
"19/4/2012","Toa Payoh",46.8
"20/4/2012","Toa Payoh",0
"21/4/2012","Toa Payoh",15.6
"22/4/2012","Toa Payoh",0.2
"23/4/2012","Toa Payoh",0
"24/4/2012","Toa Payoh",2.6
"25/4/2012","Toa Payoh",0
"26/4/2012","Toa Payoh",0
"27/4/2012","Toa Payoh",2.2
"28/4/2012","Toa Payoh",12.6
"29/4/2012","Toa Payoh",0
"30/4/2012","Toa Payoh",1.8
"1/5/2012","Toa Payoh",3.4
"2/5/2012","Toa Payoh",23.4
"3/5/2012","Toa Payoh",0.6
"4/5/2012","Toa Payoh",2.2
"5/5/2012","Toa Payoh",46.8
"6/5/2012","Toa Payoh",2.8
"7/5/2012","Toa Payoh",1.4
"8/5/2012","Toa Payoh",0
"9/5/2012","Toa Payoh",35.2
"10/5/2012","Toa Payoh",0.2
"11/5/2012","Toa Payoh",0
"12/5/2012","Toa Payoh",0
"13/5/2012","Toa Payoh",13
"14/5/2012","Toa Payoh",0
"15/5/2012","Toa Payoh",0
"16/5/2012","Toa Payoh",3
"17/5/2012","Toa Payoh",64.2
"18/5/2012","Toa Payoh",0
"19/5/2012","Toa Payoh",2.6
"20/5/2012","Toa Payoh",0.8
"21/5/2012","Toa Payoh",6.2
"22/5/2012","Toa Payoh",28.8
"23/5/2012","Toa Payoh",9
"24/5/2012","Toa Payoh",6.2
"25/5/2012","Toa Payoh",0.4
"26/5/2012","Toa Payoh",0
"27/5/2012","Toa Payoh",30.6
"28/5/2012","Toa Payoh",0
"29/5/2012","Toa Payoh",22.8
"30/5/2012","Toa Payoh",0
"31/5/2012","Toa Payoh",7.4
"1/6/2012","Toa Payoh",2.4
"2/6/2012","Toa Payoh",2.8
"3/6/2012","Toa Payoh",0
"4/6/2012","Toa Payoh",1.6
"5/6/2012","Toa Payoh",0
"6/6/2012","Toa Payoh",4.8
"7/6/2012","Toa Payoh",0
"8/6/2012","Toa Payoh",0
"9/6/2012","Toa Payoh",27
"10/6/2012","Toa Payoh",0
"11/6/2012","Toa Payoh",0
"12/6/2012","Toa Payoh",0
"13/6/2012","Toa Payoh",0
"14/6/2012","Toa Payoh",0
"15/6/2012","Toa Payoh",0
"16/6/2012","Toa Payoh",0
"17/6/2012","Toa Payoh",0
"18/6/2012","Toa Payoh",0
"19/6/2012","Toa Payoh",12.2
"20/6/2012","Toa Payoh",4.2
"21/6/2012","Toa Payoh",0
"22/6/2012","Toa Payoh",0
"23/6/2012","Toa Payoh",0
"24/6/2012","Toa Payoh",0
"25/6/2012","Toa Payoh",0
"26/6/2012","Toa Payoh",0
"27/6/2012","Toa Payoh",0
"28/6/2012","Toa Payoh",0
"29/6/2012","Toa Payoh",0.8
"30/6/2012","Toa Payoh",12
"1/7/2012","Toa Payoh",0
"2/7/2012","Toa Payoh",0
"3/7/2012","Toa Payoh",27.2
"4/7/2012","Toa Payoh",26.6
"5/7/2012","Toa Payoh",22.2
"6/7/2012","Toa Payoh",0
"7/7/2012","Toa Payoh",36.8
"8/7/2012","Toa Payoh",4.4
"9/7/2012","Toa Payoh",0
"10/7/2012","Toa Payoh",0
"11/7/2012","Toa Payoh",14
"12/7/2012","Toa Payoh",0
"13/7/2012","Toa Payoh",0
"14/7/2012","Toa Payoh",14
"15/7/2012","Toa Payoh",0
"16/7/2012","Toa Payoh",0.6
"17/7/2012","Toa Payoh",2.6
"18/7/2012","Toa Payoh",0.2
"19/7/2012","Toa Payoh",13.4
"20/7/2012","Toa Payoh",0
"21/7/2012","Toa Payoh",0
"22/7/2012","Toa Payoh",0
"23/7/2012","Toa Payoh",0
"24/7/2012","Toa Payoh",0
"25/7/2012","Toa Payoh",0
"26/7/2012","Toa Payoh",0
"27/7/2012","Toa Payoh",0
"28/7/2012","Toa Payoh",3.4
"29/7/2012","Toa Payoh",0
"30/7/2012","Toa Payoh",0
"31/7/2012","Toa Payoh",0
"1/8/2012","Toa Payoh",2.8
"2/8/2012","Toa Payoh",0
"3/8/2012","Toa Payoh",78.6
"4/8/2012","Toa Payoh",11
"5/8/2012","Toa Payoh",0
