weekly_date,weekly_rainfall,weekly_temp,dengue
1/1/2012,17.2,26.87142857,74
8/1/2012,148.8,25.72857143,64
15/1/2012,345.4,27.02857143,60
22/1/2012,160,26.24285714,50
29/1/2012,205.8,26.18571429,84
5/2/2012,27,27.05714286,87
12/2/2012,200.2,26.67142857,65
19/2/2012,89,27.11428571,50
26/2/2012,266.8,26.9,55
4/3/2012,273.6,27.05714286,45
11/3/2012,310.2,26.32857143,64
18/3/2012,234.6,27.47142857,72
25/3/2012,463,26.84285714,48
1/4/2012,447.2,27.22857143,52
8/4/2012,487.8,27,81
15/4/2012,252.8,27.45714286,77
22/4/2012,92.8,28.4,64
29/4/2012,358,27.88571429,86
6/5/2012,316.8,27.51428571,96
13/5/2012,285.8,28.48571429,80
20/5/2012,338.6,28.24285714,80
27/5/2012,141.8,28.01428571,81
3/6/2012,256.4,28.41428571,99
10/6/2012,0,29.45714286,87
17/6/2012,38,29,128
24/6/2012,100.2,28.27142857,151
1/7/2012,571,27,140
8/7/2012,110.4,27.5,131
15/7/2012,204.2,26.9,124
22/7/2012,23.8,28.95714286,110
29/7/2012,209.8,28.14285714,94
5/8/2012,5.8,28.5,127
12/8/2012,42,28.05714286,115
19/8/2012,94.6,27.47142857,92
26/8/2012,305.8,26.62857143,102
2/9/2012,136,27.71428571,75
9/9/2012,73.2,27.64285714,73
16/9/2012,79,28.1,72
23/9/2012,259.2,27.82857143,99
30/9/2012,99.6,28.2,103
7/10/2012,151.8,27.34285714,122
14/10/2012,541.8,26.58571429,105
21/10/2012,157.8,28.14285714,84
28/10/2012,199.6,27.18571429,104
4/11/2012,426.2,26.54285714,99
11/11/2012,329.2,27.02857143,87
18/11/2012,364.4,27.1,99
25/11/2012,291,26.87142857,80
2/12/2012,492.4,26.71428571,78
9/12/2012,480.8,26.44285714,104
16/12/2012,353,26.11428571,92
23/12/2012,132.2,26.18571429,111
30/12/2012,610.8,26.65714286,132
6/1/2013,249.2,27.38571429,204
13/1/2013,591.8,26.28571429,219
20/1/2013,53.6,26.3,264
27/1/2013,14.2,27.15714286,292
3/2/2013,708,25.87142857,322
10/2/2013,648.6,25.31428571,246
17/2/2013,121.4,26.44285714,294
24/2/2013,351.8,27.38571429,247
3/3/2013,97.4,27.42857143,272
10/3/2013,149.8,27.71428571,307
17/3/2013,156.4,28.15714286,305
24/3/2013,314.6,28.1,314
31/3/2013,325.2,28.15714286,402
7/4/2013,154,28.38571429,491
14/4/2013,139,28.62857143,505
21/4/2013,298.8,27.4,536
28/4/2013,203.8,27.88571429,547
5/5/2013,360.8,27.58571429,556
12/5/2013,140,28.95714286,611
19/5/2013,154,28.07142857,637
26/5/2013,159.2,27.65714286,742
2/6/2013,176,28.08571429,813
9/6/2013,47,29.35714286,805
16/6/2013,25.4,29.82857143,838
23/6/2013,79,29.15714286,802
30/6/2013,107.6,27.77142857,676
7/7/2013,315.2,27.8,540
14/7/2013,102.4,27.45714286,389
21/7/2013,79,28.24285714,305
28/7/2013,111.8,27.92857143,288
4/8/2013,344.8,27.6,255
11/8/2013,267.4,27.45714286,378
18/8/2013,46.2,28.21428571,338
25/8/2013,157,27.7,382
1/9/2013,606.8,26.24285714,449
8/9/2013,214.2,27.21428571,337
15/9/2013,124.4,28.02857143,370
22/9/2013,309.4,28.22857143,402
29/9/2013,274.4,27.75714286,439
6/10/2013,277.6,27.9,435
13/10/2013,424.8,27.94285714,371
20/10/2013,198.4,27.1,495
27/10/2013,508.2,26.6,457
3/11/2013,327.6,27,401
10/11/2013,448,26.62857143,442
17/11/2013,250.4,26.95714286,365
24/11/2013,404.8,27.07142857,372
1/12/2013,549.2,25.5,347
8/12/2013,327.4,26.72857143,380
15/12/2013,471.6,26.52857143,371
22/12/2013,84.6,26.34285714,414
29/12/2013,109,26.21428571,436
5/1/2014,306.6,25.97142857,479
12/1/2014,13.4,25.8,401
19/1/2014,0,25.32857143,336
26/1/2014,0,25.64285714,234
2/2/2014,24.4,26.02857143,273
9/2/2014,49.2,27.21428571,369
16/2/2014,8,27.12857143,193
23/2/2014,0.2,26.85714286,186
2/3/2014,18.4,27.31428571,209
9/3/2014,0,27.67142857,224
16/3/2014,548.2,26.27142857,210
23/3/2014,27,27.95714286,225
30/3/2014,178.6,28.02857143,240
6/4/2014,157,27.61428571,244
13/4/2014,335.2,28.01428571,235
20/4/2014,335.4,27.55714286,282
27/4/2014,253.6,28.37142857,251
4/5/2014,300.1,28.6,261
11/5/2014,312,28.22857143,291
18/5/2014,317.8,27.52857143,427
25/5/2014,152.8,28.25714286,456
1/6/2014,338.8,27.95714286,458
8/6/2014,124.4,29.17142857,506
